Wind,PV,Constant,Demand_el
0.004761119,0.000233827,0.002739726,0.002149392
0.004686418,0.000232962,0.002739726,0.00247504
0.01020063,0.000874124,0.002739726,0.002838874
0.010949669,0.000521518,0.002739726,0.002931271
0.011582364,0.000180508,0.002739726,0.003002002
0.006490951,0.000465785,0.002739726,0.002660052
0.008067872,0.000146398,0.002739726,0.002633847
0.005089796,0.000299817,0.002739726,0.00240538
0.00311281,0.000187257,0.002739726,0.002788413
0.004045502,0.000628367,0.002739726,0.002913932
0.004278523,0.000383354,0.002739726,0.002945145
0.009653248,0.000639078,0.002739726,0.003147419
0.009213159,0.000670253,0.002739726,0.003139394
0.004085549,0.000955412,0.002739726,0.002635138
0.000802094,0.001306015,0.002739726,0.002410357
0.001098621,0.001414711,0.002739726,0.002999768
0.001680696,0.001106406,0.002739726,0.003061665
0.004759879,0.001460326,0.002739726,0.003188783
0.006207916,0.000138589,0.002739726,0.003191421
0.005560337,0.000535346,0.002739726,0.003059464
0.007340439,0.000113745,0.002739726,0.002643931
0.009390162,0.000320494,0.002739726,0.002632135
0.002693845,0.000416113,0.002739726,0.002921467
0.000781287,0.000524519,0.002739726,0.002867006
0.000963293,0.000966374,0.002739726,0.002896249
0.004430901,0.001401858,0.002739726,0.003158545
0.00214511,0.000437834,0.002739726,0.002964828
0.000604525,0.000345614,0.002739726,0.002588011
0.001639184,0.000324793,0.002739726,0.002470776
0.004028172,0.000768292,0.002739726,0.003108901
0.004605927,0.001143261,0.002739726,0.003253933
0.004413656,0.001548766,0.002739726,0.003292974
0.001725747,0.001592144,0.002739726,0.003335625
0.000821331,0.001657632,0.002739726,0.003334917
0.000444361,0.001611843,0.002739726,0.003062089
0.001206398,0.001944885,0.002739726,0.002933857
0.000778354,0.001973986,0.002739726,0.003271296
0.002089036,0.00070807,0.002739726,0.003342827
0.002186804,0.001316086,0.002739726,0.003452152
0.002861647,0.00067868,0.002739726,0.003444431
0.001191958,0.001242792,0.002739726,0.003296916
0.00073183,0.001590539,0.002739726,0.00306857
0.0013482,0.001609987,0.002739726,0.002922337
0.000599692,0.000402283,0.002739726,0.003109497
0.002828713,0.00034248,0.002739726,0.00322651
0.009375854,0.000672791,0.002739726,0.003423559
0.002756469,0.001360539,0.002739726,0.003243696
0.004488762,0.000617597,0.002739726,0.003237235
0.005067243,0.000935505,0.002739726,0.002860448
0.006098545,0.001082717,0.002739726,0.002724241
0.003427591,0.001917125,0.002739726,0.0031909
0.006285137,0.002066561,0.002739726,0.003323186
0.006090523,0.002669504,0.002739726,0.003271351
0.007863861,0.000674611,0.002739726,0.003309649
0.008488654,0.001043536,0.002739726,0.003276051
0.006756087,0.001520535,0.002739726,0.002863685
0.002263964,0.001326318,0.002739726,0.002487045
0.001799334,0.001536027,0.002739726,0.003016289
0.005062849,0.000576939,0.002739726,0.003199232
0.001828674,0.001082017,0.002739726,0.003028485
0.001367094,0.001427113,0.002739726,0.00299042
0.00084507,0.001378001,0.002739726,0.002947941
0.002382161,0.001973658,0.002739726,0.002580846
0.001690447,0.00114238,0.002739726,0.002357278
0.003462294,0.001172758,0.002739726,0.003041091
0.00137543,0.002958997,0.002739726,0.003070202
0.003398462,0.002678509,0.002739726,0.003118652
0.003370578,0.00159372,0.002739726,0.003109229
0.00267275,0.003299823,0.002739726,0.003061876
0.004711518,0.002137923,0.002739726,0.002691335
0.004489136,0.000808537,0.002739726,0.002453667
0.004333411,0.001329087,0.002739726,0.003016837
0.00264698,0.001136657,0.002739726,0.002989707
0.00153228,0.002006304,0.002739726,0.002965467
0.000476184,0.003591688,0.002739726,0.002940459
0.001651713,0.003990425,0.002739726,0.00289709
0.001651454,0.003388666,0.002739726,0.002427812
0.003425346,0.002102339,0.002739726,0.00233718
0.003613318,0.002707179,0.002739726,0.002926339
0.003223946,0.003915984,0.002739726,0.003017906
0.00121374,0.003807673,0.002739726,0.00296022
0.000897536,0.004139097,0.002739726,0.002916106
0.000473524,0.00407048,0.002739726,0.002829178
0.00055586,0.003796359,0.002739726,0.002320423
0.001114836,0.004358517,0.002739726,0.00220962
0.000625325,0.004388891,0.002739726,0.002740377
0.002287674,0.00420442,0.002739726,0.00286782
0.004135197,0.004446565,0.002739726,0.002877676
0.008217586,0.002351692,0.002739726,0.002954685
0.008107731,0.001277737,0.002739726,0.00287869
0.008611264,0.002051198,0.002739726,0.002511497
0.005027226,0.004413478,0.002739726,0.00229989
0.003864241,0.003522621,0.002739726,0.002833767
